window,train_start,train_end,test_start,test_end,accuracy,f1,dir_acc,n_train,n_test
1,2024-07-24,2025-01-17,2025-01-17,2025-02-03,0.5333,0.4033,0.5333,2880,240
2,2024-07-31,2025-01-27,2025-01-27,2025-02-10,0.4875,0.3867,0.4875,2880,240
3,2024-08-07,2025-02-03,2025-02-03,2025-02-17,0.6,0.4936,0.6025,2880,240
4,2024-08-14,2025-02-10,2025-02-10,2025-02-25,0.4708,0.4713,0.4728,2880,240
5,2024-08-21,2025-02-17,2025-02-17,2025-03-04,0.5792,0.5621,0.5792,2880,240
6,2024-08-29,2025-02-25,2025-02-25,2025-03-11,0.5042,0.5204,0.5042,2880,240
7,2024-09-05,2025-03-04,2025-03-04,2025-03-18,0.55,0.498,0.55,2880,240
8,2024-09-12,2025-03-11,2025-03-11,2025-03-25,0.5958,0.4512,0.5958,2880,240
9,2024-09-19,2025-03-18,2025-03-18,2025-04-02,0.4875,0.4591,0.4875,2880,240
10,2024-09-27,2025-03-25,2025-03-26,2025-04-09,0.625,0.5838,0.625,2880,240
11,2024-10-04,2025-04-02,2025-04-02,2025-04-16,0.5417,0.5028,0.5417,2880,240
12,2024-10-11,2025-04-09,2025-04-09,2025-04-24,0.5583,0.4398,0.5583,2880,240
13,2024-10-18,2025-04-16,2025-04-16,2025-05-02,0.4917,0.4965,0.4917,2880,240
14,2024-10-28,2025-04-24,2025-04-24,2025-05-09,0.675,0.675,0.675,2880,240
15,2024-11-04,2025-05-02,2025-05-02,2025-05-16,0.6292,0.6361,0.6292,2880,240
16,2024-11-11,2025-05-09,2025-05-09,2025-05-23,0.5125,0.5243,0.5125,2880,240
17,2024-11-18,2025-05-16,2025-05-16,2025-06-02,0.5958,0.5034,0.5958,2880,240
18,2024-11-25,2025-05-23,2025-05-23,2025-06-09,0.6583,0.6356,0.6583,2880,240
19,2024-12-03,2025-06-02,2025-06-02,2025-06-16,0.6833,0.5668,0.6833,2880,240
20,2024-12-10,2025-06-09,2025-06-09,2025-06-23,0.7583,0.6541,0.7583,2880,240
21,2024-12-17,2025-06-16,2025-06-16,2025-07-01,0.7208,0.7263,0.7208,2880,240
22,2024-12-26,2025-06-23,2025-06-23,2025-07-08,0.5708,0.5784,0.5708,2880,240
23,2025-01-03,2025-07-01,2025-07-01,2025-07-15,0.5917,0.5951,0.5917,2880,240
24,2025-01-10,2025-07-08,2025-07-08,2025-07-22,0.5458,0.5098,0.5458,2880,240
25,2025-01-17,2025-07-15,2025-07-15,2025-07-30,0.6667,0.6142,0.6667,2880,240
26,2025-01-27,2025-07-22,2025-07-22,2025-08-06,0.6375,0.6506,0.6375,2880,240
27,2025-02-03,2025-07-30,2025-07-30,2025-08-13,0.6708,0.6314,0.6708,2880,240
28,2025-02-10,2025-08-06,2025-08-06,2025-08-20,0.7042,0.6558,0.7042,2880,240
29,2025-03-04,2025-08-27,2025-08-27,2025-09-11,0.5625,0.405,0.5625,2880,240
30,2025-03-11,2025-09-04,2025-09-04,2025-09-18,0.5375,0.5516,0.5375,2880,240
31,2025-03-18,2025-09-11,2025-09-11,2025-09-25,0.6417,0.51,0.6417,2880,240
32,2025-03-26,2025-09-18,2025-09-18,2025-10-03,0.575,0.4354,0.575,2880,240
33,2025-04-02,2025-09-25,2025-09-25,2025-10-10,0.5458,0.3899,0.5458,2880,240
34,2025-04-09,2025-10-03,2025-10-03,2025-10-17,0.525,0.3772,0.525,2880,240
35,2025-04-16,2025-10-10,2025-10-10,2025-10-24,0.6292,0.5596,0.6292,2880,240
36,2025-04-24,2025-10-17,2025-10-17,2025-11-03,0.4125,0.4477,0.4125,2880,240
37,2025-05-02,2025-10-24,2025-10-24,2025-11-10,0.525,0.5541,0.525,2880,240
38,2025-05-09,2025-11-03,2025-11-03,2025-11-17,0.6458,0.5777,0.6458,2880,240
39,2025-05-16,2025-11-10,2025-11-10,2025-11-24,0.5625,0.5261,0.5625,2880,240
40,2025-05-23,2025-11-17,2025-11-17,2025-12-02,0.6708,0.5604,0.6708,2880,240
41,2025-06-02,2025-11-24,2025-11-24,2025-12-09,0.7042,0.6241,0.7042,2880,240
42,2025-06-09,2025-12-02,2025-12-02,2025-12-16,0.7042,0.5888,0.7042,2880,240
43,2025-06-16,2025-12-09,2025-12-09,2025-12-23,0.6042,0.4725,0.6042,2880,240
44,2025-06-23,2025-12-16,2025-12-16,2026-01-02,0.675,0.5807,0.675,2880,240
45,2025-07-01,2025-12-23,2025-12-23,2026-01-09,0.4875,0.5176,0.4875,2880,240
46,2025-07-08,2026-01-02,2026-01-02,2026-01-16,0.7375,0.6506,0.7375,2880,240
47,2025-07-15,2026-01-09,2026-01-09,2026-01-23,0.5792,0.4279,0.5792,2880,240
48,2025-07-22,2026-01-16,2026-01-16,2026-02-02,0.5875,0.4463,0.5875,2880,240
49,2025-07-30,2026-01-23,2026-01-23,2026-02-09,0.7042,0.6553,0.7042,2880,240
50,2025-08-06,2026-02-02,2026-02-02,2026-02-16,0.5125,0.5318,0.5125,2880,240
51,2025-08-13,2026-02-09,2026-02-09,2026-02-23,0.4708,0.4902,0.4708,2880,240
52,2025-08-20,2026-02-16,2026-02-16,2026-03-02,0.6917,0.5872,0.6917,2880,240
