window,train_start,train_end,test_start,test_end,accuracy,f1,dir_acc,n_train,n_test
1,2025-05-22,2025-11-14,2025-11-14,2025-12-01,0.6333,0.5606,0.6333,5760,480
2,2025-05-30,2025-11-21,2025-11-21,2025-12-08,0.5708,0.5187,0.5708,5760,480
3,2025-06-06,2025-12-01,2025-12-01,2025-12-15,0.4646,0.4827,0.4646,5760,480
4,2025-06-13,2025-12-08,2025-12-08,2025-12-22,0.6375,0.5481,0.6375,5760,480
5,2025-06-20,2025-12-15,2025-12-15,2025-12-31,0.6854,0.5925,0.6854,5760,480
6,2025-06-30,2025-12-22,2025-12-22,2026-01-08,0.6438,0.576,0.6438,5760,480
7,2025-07-07,2025-12-31,2025-12-31,2026-01-15,0.625,0.5519,0.625,5760,480
8,2025-07-14,2026-01-08,2026-01-08,2026-01-22,0.6271,0.4938,0.6271,5760,480
9,2025-07-21,2026-01-15,2026-01-15,2026-01-30,0.6312,0.5249,0.6312,5760,480
10,2025-07-29,2026-01-22,2026-01-22,2026-02-06,0.6896,0.6771,0.6896,5760,480
11,2025-08-05,2026-01-30,2026-01-30,2026-02-13,0.65,0.6236,0.65,5760,480
12,2025-08-12,2026-02-06,2026-02-06,2026-02-20,0.6312,0.5806,0.6312,5760,480
13,2025-08-19,2026-02-13,2026-02-13,2026-03-02,0.6271,0.5556,0.6271,5760,480
14,2025-08-27,2026-02-20,2026-02-20,2026-03-09,0.6979,0.5999,0.6979,5760,480
15,2025-09-03,2026-03-02,2026-03-02,2026-03-16,0.6562,0.6527,0.6562,5760,480
